handle,product_id,strategy,status,detail
305-nv-bahia-blue-gloss-black-lip-zmr30578580600,9413333811435,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
305-nv-bahia-blue-gloss-black-lip-zmr30578580600,9413333811435,sibling_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
305-nv-bahia-blue-gloss-black-lip-zmr30578587600,9413333942507,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
305-nv-bahia-blue-gloss-black-lip-zmr30578587600,9413333942507,sibling_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
305-nv-bahia-blue-gloss-black-lip-zmr30589080618,9413334204651,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
305-nv-bahia-blue-gloss-black-lip-zmr30589080618,9413334204651,sibling_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
305-nv-bahia-blue-gloss-black-lip-zmr30589087618,9413334302955,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
305-nv-bahia-blue-gloss-black-lip-zmr30589087618,9413334302955,sibling_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
315-gold-black-lip-mr31578516100,9413334827243,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
315-gold-black-lip-mr31578516100,9413334827243,master_box,OK,https://customwheelhousellc.box.com/shared/static/u6bec4c1rceabockxgzbbhedc93fmt
315-gold-black-lip-mr31578560100,9413334991083,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
315-gold-black-lip-mr31578560100,9413334991083,master_box,OK,https://customwheelhousellc.box.com/shared/static/u6bec4c1rceabockxgzbbhedc93fmt
105-beadlock-gold-mr10579050138b,9413336170731,NONE,SKIP,no source
105-beadlock-goldthe-standard-machine-mr30179080312n,9413343314155,NONE,SKIP,no source
the-standard-machine-mr30189080318,9413343510763,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
the-standard-machine-mr30189080318,9413343510763,master_box,OK,https://customwheelhousellc.box.com/shared/static/2oxjdawg1qzam8g6hk20jongom1e9p
the-standard-machine-mr30189087318,9413343609067,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
the-standard-machine-mr30189087318,9413343609067,master_box,OK,https://customwheelhousellc.box.com/shared/static/2oxjdawg1qzam8g6hk20jongom1e9p
